user_id,forecast_score_1,read_score_1,wallet_score_1,age_score_1,sum_score_1,forecast_score_2,read_score_2,wallet_score_2,age_score_2,sum_score_2,forecast_score_3,read_score_3,wallet_score_3,age_score_3,sum_score_3,forecast_score_4,read_score_4,wallet_score_4,age_score_4,sum_score_4,forecast_score_5,read_score_5,wallet_score_5,age_score_5,sum_score_5,forecast_score_6,read_score_6,wallet_score_6,age_score_6,sum_score_6,forecast_score_7,read_score_7,wallet_score_7,age_score_7,sum_score_7,churn
3493037190737583,0.0,0.8,0.0,0.1,0.9,0.0,0.75,0.0,0.08,0.83,0.0,0.6666666666666666,0.0,0.06,0.7266666666666666,0.0,0.5,0.0,0.04,0.54,0.0,0.5,0.0,0.04,0.54,0.0,0.5,0.0,0.04,0.54,0.0,0.0,0.0,0.02,0.02,1
2950476651671903,0.0,0.6,0.0,0.1,0.7,0.0,0.5,0.0,0.08,0.58,0.0,0.6666666666666666,0.0,0.06,0.7266666666666666,0.0,0.5,0.0,0.04,0.54,0.0,0.5,0.0,0.04,0.54,0.0,0.5,0.0,0.04,0.54,0.0,0.0,0.0,0.02,0.02,1
2721803727912660,0.0,0.8,0.0,0.1,0.9,0.0,0.75,0.0,0.08,0.83,0.0,0.6666666666666666,0.0,0.06,0.7266666666666666,0.0,0.5,0.0,0.04,0.54,0.0,0.5,0.0,0.04,0.54,0.0,0.5,0.0,0.04,0.54,0.0,1.0,0.0,0.02,1.02,1
2922919451075156,0.2,1.0,0.0,0.1,1.3,0.0,1.0,0.0,0.08,1.08,0.0,1.0,0.0,0.06,1.06,0.0,1.0,0.0,0.04,1.04,0.0,1.0,0.0,0.04,1.04,0.0,0.5,0.0,0.04,0.54,0.0,0.0,0.0,0.02,0.02,1
3351769908228693,0.2,0.2,0.0,0.1,0.5,0.25,0.25,0.0,0.08,0.58,0.3333333333333333,0.3333333333333333,0.0,0.06,0.7266666666666666,0.5,0.5,0.0,0.04,1.04,0.5,0.5,0.0,0.04,1.04,0.5,0.5,0.0,0.04,1.04,0.0,0.0,0.0,0.02,0.02,1
2131739833595531,0.0,0.5,0.0,0.08,0.58,0.0,0.5,0.0,0.08,0.58,0.0,0.5,0.0,0.08,0.58,0.0,0.5,0.0,0.08,0.58,0.0,0.3333333333333333,0.0,0.06,0.3933333333333333,0.0,0.5,0.0,0.04,0.54,0.0,1.0,0.0,0.02,1.02,1
2522093624580072,0.0,0.75,0.0,0.08,0.83,0.0,0.75,0.0,0.08,0.83,0.0,0.75,0.0,0.08,0.83,0.0,0.75,0.0,0.08,0.83,0.0,0.6666666666666666,0.0,0.06,0.7266666666666666,0.0,0.5,0.0,0.04,0.54,0.0,0.0,0.0,0.02,0.02,1
2813014182071258,0.2,0.6,0.0,0.1,0.9,0.25,0.5,0.0,0.08,0.83,0.3333333333333333,0.3333333333333333,0.0,0.06,0.7266666666666666,0.5,0.5,0.0,0.04,1.04,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,1
2680426078647417,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,1
2818100204969712,0.0,0.6,0.0,0.1,0.7,0.0,0.6,0.0,0.1,0.7,0.0,0.6,0.0,0.1,0.7,0.0,0.75,0.0,0.08,0.83,0.0,0.6666666666666666,0.0,0.06,0.7266666666666666,0.0,0.5,0.0,0.04,0.54,0.0,0.0,0.0,0.02,0.02,1
